       id       |                                                                                 ver                                                                                  
----------------+----------------------------------------------------------------------------------------------------------------------------------------------------------------------
 ReportName   : | O2V-QA-R001 Analyze Geometry tables 
 ReportVersion: | v0.0.1/2016-jun-29
 RunTime      : | 2016-06-29 16:40:48.128526+00
 postgis      : | POSTGIS="2.2.0 r14208" GEOS="3.5.0-CAPI-1.9.0 r4084" PROJ="Rel. 4.8.0, 6 March 2012" GDAL="GDAL 1.10.1, released 2013/08/26" LIBXML="2.9.1" LIBJSON="0.11.99" RASTER
 postgresql   : | PostgreSQL 9.5.0 on x86_64-pc-linux-gnu, compiled by gcc (Debian 4.9.2-10) 4.9.2, 64-bit
(5 rows)

CREATE FUNCTION
   tgrp   |        tablename         | count_rec | uniq_id | uniq_type |    sum_area     |      avg_area      |      min_area      |    max_area     | sum_length | avg_length | min_length | max_length | max_numgeom | avg_numgeom | n_point | n_linestring | n_multilinestring | n_polygon | n_multipolygon | n_other | n_polyarea_l10m2 | n_polyarea_l100m2 | n_polyarea_l1000m2 | n_linelen_l1m | n_linelen_l10m | n_linelen_l100m | n_linelen_l1000m |     id_md5_1     |     id_md5_2     |     id_md5_3     |     id_md5_4     
 water    | water_z0                 |        42 |       1 |         0 | 990782595243454 | 23590061791510.800 | 128234023.39398800 | 271127855141693 |          0 |      0.000 | 0.00000000 |          0 |           1 |  1.00000000 |       0 |            0 |                 0 |        42 |              0 |       0 |                0 |                 0 |                  0 |             0 |              0 |               0 |                0 |     146425730472 |     105579198774 |      72511831770 |     175828798404
 water    | water_z1                 |       245 |       1 |         0 | 991539901336992 |  4047101638110.170 |     61016.19599791 | 100359390860874 |          0 |      0.000 | 0.00000000 |          0 |           1 |  1.00000000 |       0 |            0 |                 0 |       245 |              0 |       0 |                0 |                 0 |                  0 |             0 |              0 |               0 |                0 |     854150094420 |     615878659515 |     422985685325 |    1025667990690
 water    | water_z2toz3             |      2063 |       1 |         0 | 992910185005274 |   481294321379.192 |         3.76736650 |  50180760199249 |          0 |      0.000 | 0.00000000 |          0 |           1 |  1.00000000 |       0 |            0 |                 0 |      2063 |              0 |       0 |                1 |                 1 |                  3 |             0 |              0 |               0 |                0 |    7192292427708 |    5185949692161 |    3561712117655 |    8636543121606
 water    | water_z4                 |     12746 |       1 |         0 | 952361804927088 |    74718484616.906 |         0.05415462 |    392216787970 |          0 |      0.000 | 0.00000000 |          0 |           3 |  1.00086302 |       0 |            0 |                 0 |     12737 |              9 |       0 |               23 |                50 |                127 |             0 |              0 |               0 |                0 |   44436722871336 |   32040773037462 |   22005614470010 |   53359853915652
 water    | water_z5toz7             |     12426 |    1024 |         0 | 948974267937182 |    76370052143.665 |         0.05415462 |    392216787970 |          0 |      0.000 | 0.00000000 |          0 |           3 |  1.00064381 |       0 |            0 |                 0 |     12419 |              7 |       0 |               23 |                50 |                126 |             0 |              0 |               0 |                0 |   41925011483130 |   30819206631741 |   21858972917413 |   49905360382042
 water    | water_z8toz10            |    130878 |    1024 |         0 | 948869816546435 |     7250032981.452 |         0.00000001 |  25094860672126 |          0 |      0.000 | 0.00000000 |          0 |           3 |  1.00006113 |       0 |            0 |                 0 |    130871 |              7 |       0 |             1588 |              4581 |              10983 |             0 |              0 |               0 |                0 |  454887407337162 |  328582712659785 |  226363056175033 |  545792808680866
 water    | water_z11toz12           |    131696 |    1842 |         0 | 948869837125613 |     7205001193.093 |         0.00000001 |  25094860672126 |          0 |      0.000 | 0.00000000 |          0 |           4 |  1.00010631 |       0 |            0 |                 0 |    131685 |             11 |       0 |             1588 |              4581 |              10983 |             0 |              0 |               0 |                0 |  456589683472051 |  330368266667912 |  228105870772383 |  547540418498385
 water    | water_z13toz14           |    141273 |   11419 |         0 | 948869856578056 |     6716569030.020 |         0.00000001 |  25094860672126 |          0 |      0.000 | 0.00000000 |          0 |           4 |  1.00014157 |       0 |            0 |                 0 |    141257 |             16 |       0 |             1618 |              6237 |              16498 |             0 |              0 |               0 |                0 |  477243316523260 |  351140843345001 |  248768801738349 |  568379310192416
 land     | osm_landuse_polygon      |    225058 |  225058 |        57 |     57056130148 |         253517.449 |         0.00172727 |      1159444418 |          0 |      0.000 | 0.00000000 |          0 |          88 |  1.02278079 |       0 |            0 |                 0 |    223413 |           1645 |       0 |             1557 |              4522 |              29989 |             0 |              0 |               0 |                0 |  483198719455133 |  483502143157841 |  483280274072760 |  482363746955639
 land     | osm_landuse_polygon_gen0 |     11421 |   11421 |        38 |     49329525131 |        4319194.916 |    212027.77893075 |      1158951968 |          0 |      0.000 | 0.00000000 |          0 |          88 |  1.25969705 |       0 |            0 |                 0 |     10614 |            807 |       0 |                0 |                 0 |                  0 |             0 |              0 |               0 |                0 |   24599905098506 |   24722156729792 |   24523438754414 |   24511904898446
 land     | osm_landuse_polygon_gen1 |     49572 |   49572 |        55 |     55198544504 |        1113502.471 |     15112.55046951 |      1159245229 |          0 |      0.000 | 0.00000000 |          0 |          88 |  1.09124102 |       0 |            0 |                 0 |     48287 |           1285 |       0 |                0 |                 0 |                  0 |             0 |              0 |               0 |                0 |  106488152929472 |  106835463010879 |  106488967378286 |  105972021499217
 land     | landuse_z5toz6           |      5920 |    5038 |         2 |     24208083354 |        4089203.269 |         2.72486581 |       168234138 |          0 |      0.000 | 0.00000000 |          0 |           1 |  1.00000000 |       0 |            0 |                 0 |      5920 |              0 |       0 |                1 |                 1 |                 27 |             0 |              0 |               0 |                0 |   12793297281822 |   12944546320490 |   12712848071686 |   12594191353923
 land     | landuse_z7toz8           |      5326 |    4373 |         3 |     25097093778 |        4712184.337 |         2.72486581 |       168234138 |          0 |      0.000 | 0.00000000 |          0 |           1 |  1.00000000 |       0 |            0 |                 0 |      5326 |              0 |       0 |                1 |                 1 |                 26 |             0 |              0 |               0 |                0 |   11528384968201 |   11653233838996 |   11413465398907 |   11328777128722
 land     | landuse_z9               |     10081 |    8230 |        14 |     30456765218 |        3021204.763 |         2.72486581 |       168234138 |          0 |      0.000 | 0.00000000 |          0 |           1 |  1.00000000 |       0 |            0 |                 0 |     10081 |              0 |       0 |                1 |                 1 |                 35 |             0 |              0 |               0 |                0 |   21711516041069 |   21804302318718 |   21671251820620 |   21748646738117
 land     | landuse_z10              |     10293 |    8423 |        18 |     30629409785 |        2975751.461 |         2.72486581 |       168234138 |          0 |      0.000 | 0.00000000 |          0 |           1 |  1.00000000 |       0 |            0 |                 0 |     10293 |              0 |       0 |                1 |                 1 |                 35 |             0 |              0 |               0 |                0 |   22166041527351 |   22260283794616 |   22113482967981 |   22177205424119
 land     | landuse_z11              |     36429 |   33840 |        28 |     34527275404 |         947796.410 |         3.44687458 |       167297895 |          0 |      0.000 | 0.00000000 |          0 |           1 |  1.00000000 |       0 |            0 |                 0 |     36429 |              0 |       0 |                3 |                11 |                 89 |             0 |              0 |               0 |                0 |   78589290900342 |   78588008985253 |   78380908945581 |   77888712685678
 land     | landuse_z12              |     79353 |   70611 |        28 |     35368003297 |         445704.678 |         0.00010794 |       121630735 |          0 |      0.000 | 0.00000000 |          0 |           1 |  1.00000000 |       0 |            0 |                 0 |     79353 |              0 |       0 |              208 |               670 |               1674 |             0 |              0 |               0 |                0 |  172779742764045 |  171017744547020 |  169988602081466 |  169963670478346
 land     | landuse_z13toz14         |    234426 |  223017 |        50 |     45437855921 |         193826.009 |         0.00010794 |       430231617 |          0 |      0.000 | 0.00000000 |          0 |           1 |  1.00000000 |       0 |            0 |                 0 |    234426 |              0 |       0 |             1770 |              5202 |              31622 |             0 |              0 |               0 |                0 |  505546179786468 |  503572991917417 |  503044058205421 |  502946053460549
 land     | landuse_overlay_z5       |        16 |      15 |         2 |     10698190007 |      668636875.448 |   7538231.36612605 |      1158951968 |          0 |      0.000 | 0.00000000 |          0 |           1 |  1.00000000 |       0 |            0 |                 0 |        16 |              0 |       0 |                0 |                 0 |                  0 |             0 |              0 |               0 |                0 |      36106004405 |      32556332144 |      31998115616 |      36466306317
 land     | landuse_overlay_z6       |        18 |      17 |         2 |     11210691303 |      622816183.508 |   7538231.36612605 |      1158951968 |          0 |      0.000 | 0.00000000 |          0 |           1 |  1.00000000 |       0 |            0 |                 0 |        18 |              0 |       0 |                0 |                 0 |                  0 |             0 |              0 |               0 |                0 |      36692335188 |      39105622251 |      37140494450 |      38546260652
 land     | landuse_overlay_z7       |        21 |      20 |         2 |     11323201412 |      539200067.249 |   7538231.36612605 |      1158951968 |          0 |      0.000 | 0.00000000 |          0 |           1 |  1.00000000 |       0 |            0 |                 0 |        21 |              0 |       0 |                0 |                 0 |                  0 |             0 |              0 |               0 |                0 |      45510715473 |      42462812206 |      43624129723 |      45882604735
 land     | landuse_overlay_z8       |        34 |      33 |         3 |     11436372458 |      336363895.826 |   6334248.69830815 |      1158951968 |          0 |      0.000 | 0.00000000 |          0 |           1 |  1.00000000 |       0 |            0 |                 0 |        34 |              0 |       0 |                0 |                 0 |                  0 |             0 |              0 |               0 |                0 |      71127703438 |      67455313806 |      72939750907 |      78961642572
 land     | landuse_overlay_z9       |        53 |      50 |         4 |     11501705229 |      217013306.202 |    108306.66513093 |      1158951968 |          0 |      0.000 | 0.00000000 |          0 |           1 |  1.00000000 |       0 |            0 |                 0 |        53 |              0 |       0 |                0 |                 0 |                  0 |             0 |              0 |               0 |                0 |     109136299388 |     104678167878 |     112754404359 |     117562271862
 land     | landuse_overlay_z10      |       115 |      98 |         4 |     11544855928 |      100390051.549 |     10749.87015516 |      1158951968 |          0 |      0.000 | 0.00000000 |          0 |           1 |  1.00000000 |       0 |            0 |                 0 |       115 |              0 |       0 |                0 |                 0 |                  0 |             0 |              0 |               0 |                0 |     240029062521 |     239669513550 |     254227465618 |     247678231090
 land     | landuse_overlay_z11toz12 |       470 |     433 |         7 |     11597755707 |       24676075.973 |      4127.40825048 |      1159245229 |          0 |      0.000 | 0.00000000 |          0 |           1 |  1.00000000 |       0 |            0 |                 0 |       470 |              0 |       0 |                0 |                 0 |                  0 |             0 |              0 |               0 |                0 |     979772401185 |    1005753500273 |    1001028980130 |    1004950447784
 land     | landuse_overlay_z13toz14 |      2122 |    2041 |         7 |     11618274227 |        5475152.793 |        13.69690729 |       728681646 |          0 |      0.000 | 0.00000000 |          0 |           1 |  1.00000000 |       0 |            0 |                 0 |      2122 |              0 |       0 |                0 |                22 |                208 |             0 |              0 |               0 |                0 |    4380465139122 |    4633372236502 |    4528587504641 |    4526849815670
(39 rows)

