extract	country	city	top	left	bottom	right
tonga	Tonga		-152655721	-1794951979	-242625705	-1734295457
trinidad_and_tobago	Trinidad and Tobago		116628372	-621830559	97732106	-601895847
tunisia	Tunisia		378612052	74219807	3014238	119801133
turkey	Turkey		42397	255212891	357076804	449176638
turkmenistan	Turkmenistan		428975571	52235076	350355776	66784303
turks_and_caicos_islands	Turks and Caicos Islands		222630989	-727799045	208553418	-70764359
tuvalu	Tuvalu		-5336961	-1800999999	-110939388	180.1
uganda	Uganda		43340766	294727424	-15787899	35100308
ukraine	Ukraine		524791473	22037059	44084598	403275801
united_arab_emirates	United Arab Emirates		262517219	513160714	225316214	567024458
united_kingdom	United Kingdom		61161	-141155169	49574	21919117
united_states_of_america	United States of America		717048217	-1800999999	-148608357	180.1
uruguay	Uruguay		-299853439	-585948437	-358847311	-529755832
uzbekistan	Uzbekistan		45690118	558985781	370772144	732397362
vanuatu	Vanuatu		-127713776	1662355255	-205627424	170549982
vatican_city	Vatican City		420073912	123457442	418002044	125583555
venezuela	Venezuela		160158431	-734529631	547529	-594427078
vietnam	Vietnam		23493395	10204441	80790665	1144341924
yemen	Yemen		42388	4150825	118084802	548389375
zambales	Zambales		15958218	117411894	145033824	120549421
zambia	Zambia		-81712821	21896389	-181766964	338025
zimbabwe	Zimbabwe		-155097038	251373	-225241095	331627122						
